--- MusaX Trace Log: examples/fx_test.Z8A ---
T:1 | CH:0 | PC:000 | VOLUME val:10
T:1 | CH:0 | PC:002 | INST id:0
T:1 | CH:0 | PC:004 | NOTE C-4 wait:768
T:1 | CH:1 | PC:000 | VOLUME val:8
T:1 | CH:1 | PC:002 | INST id:0
T:1 | CH:1 | PC:004 | NOTE E-4 wait:768
T:1 | CH:2 | PC:000 | VOLUME val:12
T:1 | CH:2 | PC:002 | INST id:0
T:1 | CH:2 | PC:004 | END OF STREAM
T:769 | CH:0 | PC:007 | NOTE D-4 wait:768
T:769 | CH:1 | PC:007 | NOTE G-4 wait:768
T:1537 | CH:0 | PC:00A | NOTE E-4 wait:768
T:1537 | CH:1 | PC:000 | VOLUME val:8
T:1537 | CH:1 | PC:002 | INST id:0
T:1537 | CH:1 | PC:004 | NOTE E-4 wait:768
T:2305 | CH:0 | PC:00D | NOTE F-4 wait:768
T:2305 | CH:1 | PC:007 | NOTE G-4 wait:768
T:3073 | --- GLOBAL LOOP 1 COMPLETED ---
T:3073 | CH:0 | PC:000 | VOLUME val:10
T:3073 | CH:0 | PC:002 | INST id:0
T:3073 | CH:0 | PC:004 | NOTE C-4 wait:768
T:3073 | CH:1 | PC:000 | VOLUME val:8
T:3073 | CH:1 | PC:002 | INST id:0
T:3073 | CH:1 | PC:004 | NOTE E-4 wait:768
T:3841 | CH:0 | PC:007 | NOTE D-4 wait:768
T:3841 | CH:1 | PC:007 | NOTE G-4 wait:768
T:4609 | CH:0 | PC:00A | NOTE E-4 wait:768
T:4609 | CH:1 | PC:000 | VOLUME val:8
T:4609 | CH:1 | PC:002 | INST id:0
T:4609 | CH:1 | PC:004 | NOTE E-4 wait:768
T:5377 | CH:0 | PC:00D | NOTE F-4 wait:768
T:5377 | CH:1 | PC:007 | NOTE G-4 wait:768
T:6145 | CH:0 | PC:000 | VOLUME val:10
T:6145 | CH:0 | PC:002 | INST id:0
T:6145 | CH:0 | PC:004 | NOTE C-4 wait:768
T:6145 | CH:1 | PC:000 | VOLUME val:8
T:6145 | CH:1 | PC:002 | INST id:0
T:6145 | CH:1 | PC:004 | NOTE E-4 wait:768
T:6913 | CH:0 | PC:007 | NOTE D-4 wait:768
T:6913 | CH:1 | PC:007 | NOTE G-4 wait:768
T:7681 | CH:0 | PC:00A | NOTE E-4 wait:768
T:7681 | CH:1 | PC:000 | VOLUME val:8
T:7681 | CH:1 | PC:002 | INST id:0
T:7681 | CH:1 | PC:004 | NOTE E-4 wait:768
T:8449 | CH:0 | PC:00D | NOTE F-4 wait:768
T:8449 | CH:1 | PC:007 | NOTE G-4 wait:768
T:9217 | CH:0 | PC:000 | VOLUME val:10
T:9217 | CH:0 | PC:002 | INST id:0
T:9217 | CH:0 | PC:004 | NOTE C-4 wait:768
