--- MusaX Trace Log ---
T:1 | CH:0 | PC:000 | VOLUME val:8
T:1 | CH:0 | PC:002 | INST id:1
T:1 | CH:0 | PC:004 | NOTE E-4 wait:768
T:1 | CH:1 | PC:000 | VOLUME val:5
T:1 | CH:1 | PC:002 | INST id:0
T:1 | CH:1 | PC:004 | REST len:6144
T:1 | CH:2 | PC:000 | VOLUME val:13
T:1 | CH:2 | PC:002 | INST id:1
T:1 | CH:2 | PC:004 | NOTE A-2 wait:384
T:385 | CH:2 | PC:007 | NOTE C-3 wait:384
T:769 | CH:0 | PC:007 | NOTE G-4 wait:768
T:769 | CH:2 | PC:00A | NOTE E-3 wait:384
T:1153 | CH:2 | PC:00D | NOTE C-3 wait:384
T:1537 | CH:0 | PC:00A | NOTE A-4 wait:768
T:1537 | CH:2 | PC:010 | NOTE A-2 wait:384
T:1921 | CH:2 | PC:013 | NOTE E-2 wait:384
T:2305 | CH:0 | PC:00D | NOTE B-4 wait:768
T:2305 | CH:2 | PC:016 | NOTE G-2 wait:384
T:2689 | CH:2 | PC:019 | NOTE A-2 wait:384
T:3073 | CH:0 | PC:010 | NOTE C-5 wait:768
T:3073 | CH:2 | PC:01C | NOTE Gs2 wait:384
T:3457 | CH:2 | PC:01F | NOTE A-2 wait:384
T:3841 | CH:0 | PC:013 | NOTE D-5 wait:768
T:3841 | CH:2 | PC:022 | NOTE B-2 wait:384
T:4225 | CH:2 | PC:025 | NOTE A-2 wait:384
T:4609 | CH:0 | PC:016 | NOTE E-5 wait:1536
T:4609 | CH:2 | PC:028 | NOTE C-3 wait:384
T:4993 | CH:2 | PC:02B | NOTE E-3 wait:384
T:5377 | CH:2 | PC:02E | NOTE D-3 wait:384
T:5761 | CH:2 | PC:031 | NOTE C-3 wait:384
T:6145 | CH:0 | PC:019 | LOOP_S count:2
T:6145 | CH:0 | PC:01B | NOTE A-4 wait:384
T:6145 | CH:1 | PC:007 | NOTE E-4 wait:768
T:6145 | CH:2 | PC:034 | NOTE A-2 wait:384
T:6529 | CH:0 | PC:01E | NOTE C-5 wait:384
T:6529 | CH:2 | PC:037 | NOTE C-3 wait:384
T:6913 | CH:0 | PC:021 | NOTE E-5 wait:384
T:6913 | CH:1 | PC:00A | NOTE E-4 wait:768
T:6913 | CH:2 | PC:03A | NOTE F-3 wait:384
T:7297 | CH:0 | PC:024 | NOTE D-5 wait:384
T:7297 | CH:2 | PC:03D | NOTE E-3 wait:384
T:7681 | CH:0 | PC:027 | NOTE C-5 wait:384
T:7681 | CH:1 | PC:00D | NOTE D-4 wait:768
T:7681 | CH:2 | PC:040 | NOTE D-3 wait:384
T:8065 | CH:0 | PC:02A | NOTE B-4 wait:384
T:8065 | CH:2 | PC:043 | NOTE C-3 wait:384
T:8449 | CH:0 | PC:02D | NOTE A-4 wait:768
T:8449 | CH:1 | PC:010 | NOTE C-4 wait:768
T:8449 | CH:2 | PC:046 | NOTE B-2 wait:384
T:8833 | CH:2 | PC:049 | NOTE A-2 wait:384
T:9217 | CH:0 | PC:030 | NOTE E-4 wait:384
T:9217 | CH:1 | PC:013 | NOTE E-4 wait:768
T:9217 | CH:2 | PC:04C | NOTE E-2 wait:384
T:9601 | CH:0 | PC:033 | NOTE Gs4 wait:384
T:9601 | CH:2 | PC:04F | NOTE Gs2 wait:384
T:9985 | CH:0 | PC:036 | NOTE B-4 wait:384
T:9985 | CH:1 | PC:016 | NOTE B-3 wait:768
T:9985 | CH:2 | PC:052 | NOTE B-2 wait:384
T:10369 | CH:0 | PC:039 | NOTE Gs4 wait:384
T:10369 | CH:2 | PC:055 | NOTE E-3 wait:384
T:10753 | CH:0 | PC:03C | NOTE A-4 wait:384
T:10753 | CH:1 | PC:019 | NOTE C-4 wait:768
T:10753 | CH:2 | PC:058 | NOTE D-3 wait:384
T:11137 | CH:0 | PC:03F | NOTE G-4 wait:384
T:11137 | CH:2 | PC:05B | NOTE C-3 wait:384
T:11521 | CH:0 | PC:042 | NOTE F-4 wait:384
T:11521 | CH:1 | PC:01C | NOTE D-4 wait:768
T:11521 | CH:2 | PC:05E | NOTE B-2 wait:384
T:11905 | CH:0 | PC:045 | NOTE E-4 wait:384
T:11905 | CH:2 | PC:061 | NOTE Gs2 wait:384
T:12289 | CH:0 | PC:048 | NOTE A-4 wait:384
T:12289 | CH:1 | PC:01F | NOTE E-4 wait:768
T:12289 | CH:2 | PC:064 | GOTO -> PC:067
T:12289 | CH:2 | PC:067 | NOTE A-2 wait:384
T:12673 | CH:0 | PC:04B | NOTE C-5 wait:384
T:12673 | CH:2 | PC:06A | NOTE B-2 wait:384
T:13057 | CH:0 | PC:04E | NOTE E-5 wait:384
T:13057 | CH:1 | PC:022 | NOTE E-4 wait:768
T:13057 | CH:2 | PC:06D | NOTE C-3 wait:384
T:13441 | CH:0 | PC:051 | NOTE D-5 wait:384
T:13441 | CH:2 | PC:070 | NOTE D-3 wait:384
T:13825 | CH:0 | PC:054 | NOTE C-5 wait:768
T:13825 | CH:1 | PC:025 | NOTE F-4 wait:768
T:13825 | CH:2 | PC:073 | NOTE E-3 wait:384
T:14209 | CH:2 | PC:076 | NOTE F-3 wait:384
T:14593 | CH:0 | PC:057 | NOTE Gs4 wait:768
T:14593 | CH:1 | PC:028 | NOTE E-4 wait:768
T:14593 | CH:2 | PC:079 | NOTE G-3 wait:384
T:14977 | CH:2 | PC:07C | NOTE A-3 wait:384
T:15361 | CH:0 | PC:05A | NOTE A-4 wait:1536
T:15361 | CH:1 | PC:02B | NOTE D-4 wait:768
T:15361 | CH:2 | PC:07F | NOTE A-3 wait:384
T:15745 | CH:2 | PC:082 | NOTE G-3 wait:384
T:16129 | CH:1 | PC:02E | NOTE C-4 wait:768
T:16129 | CH:2 | PC:085 | NOTE F-3 wait:384
T:16513 | CH:2 | PC:088 | NOTE E-3 wait:384
T:16897 | CH:0 | PC:05D | REST len:1536
T:16897 | CH:1 | PC:031 | NOTE B-3 wait:768
T:16897 | CH:2 | PC:08B | NOTE D-3 wait:384
T:17281 | CH:2 | PC:08E | NOTE C-3 wait:384
T:17665 | CH:1 | PC:034 | NOTE A-3 wait:768
T:17665 | CH:2 | PC:091 | NOTE B-2 wait:384
T:18049 | CH:2 | PC:094 | NOTE A-2 wait:384
T:18433 | CH:0 | PC:060 | NOTE F-4 wait:384
T:18433 | CH:1 | PC:037 | NOTE A-3 wait:1536
T:18433 | CH:2 | PC:097 | NOTE A-2 wait:384
T:18817 | CH:0 | PC:063 | NOTE A-4 wait:384
T:18817 | CH:2 | PC:09A | NOTE C-3 wait:384
T:19201 | CH:0 | PC:066 | NOTE C-5 wait:384
T:19201 | CH:2 | PC:09D | NOTE E-3 wait:384
T:19585 | CH:0 | PC:069 | NOTE A-4 wait:384
T:19585 | CH:2 | PC:0A0 | NOTE A-3 wait:384
T:19969 | CH:0 | PC:06C | NOTE F-4 wait:384
T:19969 | CH:1 | PC:03A | NOTE E-3 wait:1536
T:19969 | CH:2 | PC:0A3 | NOTE E-3 wait:384
T:20353 | CH:0 | PC:06F | NOTE G-4 wait:384
T:20353 | CH:2 | PC:0A6 | NOTE C-3 wait:384
T:20737 | CH:0 | PC:072 | NOTE A-4 wait:768
T:20737 | CH:2 | PC:0A9 | NOTE E-3 wait:384
T:21121 | CH:2 | PC:0AC | NOTE C-3 wait:384
T:21505 | CH:0 | PC:075 | NOTE E-4 wait:384
T:21505 | CH:1 | PC:03D | RESTART -> PC:007
T:21505 | CH:1 | PC:007 | NOTE E-4 wait:768
T:21505 | CH:2 | PC:0AF | NOTE A-3 wait:384
T:21889 | CH:0 | PC:078 | NOTE Gs4 wait:384
T:21889 | CH:2 | PC:0B2 | NOTE Gs3 wait:384
T:22273 | CH:0 | PC:07B | NOTE B-4 wait:384
T:22273 | CH:1 | PC:00A | NOTE E-4 wait:768
T:22273 | CH:2 | PC:0B5 | NOTE G-3 wait:384
T:22657 | CH:0 | PC:07E | NOTE Gs4 wait:384
T:22657 | CH:2 | PC:0B8 | NOTE F-3 wait:384
T:23041 | CH:0 | PC:081 | NOTE A-4 wait:768
T:23041 | CH:1 | PC:00D | NOTE D-4 wait:768
T:23041 | CH:2 | PC:0BB | NOTE E-3 wait:384
T:23425 | CH:2 | PC:0BE | NOTE D-3 wait:384
T:23809 | CH:0 | PC:084 | REST len:768
T:23809 | CH:1 | PC:010 | NOTE C-4 wait:768
T:23809 | CH:2 | PC:0C1 | NOTE C-3 wait:384
T:24193 | CH:2 | PC:0C4 | NOTE A-2 wait:384
T:24577 | CH:0 | PC:087 | NOTE D-5 wait:384
T:24577 | CH:1 | PC:013 | NOTE E-4 wait:768
T:24577 | CH:2 | PC:0C7 | RESTART -> PC:004
T:24577 | CH:2 | PC:004 | NOTE A-2 wait:384
T:24961 | CH:0 | PC:08A | NOTE C-5 wait:384
T:24961 | CH:2 | PC:007 | NOTE C-3 wait:384
T:25345 | CH:0 | PC:08D | NOTE B-4 wait:384
T:25345 | CH:1 | PC:016 | NOTE B-3 wait:768
T:25345 | CH:2 | PC:00A | NOTE E-3 wait:384
T:25729 | CH:0 | PC:090 | NOTE A-4 wait:384
T:25729 | CH:2 | PC:00D | NOTE C-3 wait:384
T:26113 | CH:0 | PC:093 | NOTE Gs4 wait:384
